::1 - - [11/Mar/2020:19:28:19 -0300] "GET / HTTP/1.1" 200 389
::1 - - [11/Mar/2020:19:28:20 -0300] "GET /calculadora/ HTTP/1.1" 200 278
::1 - - [11/Mar/2020:19:28:21 -0300] "GET /calculadora/trabalhoPam3/ HTTP/1.1" 200 312
::1 - - [11/Mar/2020:19:28:23 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/ HTTP/1.1" 200 355
::1 - - [11/Mar/2020:19:28:24 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:29:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:26 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:26 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:26 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:27 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:28 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:30:29 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:31:53 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:31:53 -0300] "GET /favicon.ico HTTP/1.1" 404 209
::1 - - [11/Mar/2020:19:31:56 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 211
::1 - - [11/Mar/2020:19:32:23 -0300] "GET /calculadora/trabalhoPam3/2020.03.05/calculadora.php?v1=1&v2=2&opera=* HTTP/1.1" 200 19
::1 - - [11/Mar/2020:19:32:23 -0300] "GET /favicon.ico HTTP/1.1" 404 209
